# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  8 11:32:01 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassjstr not null
# CONSTRAINT:  and pl_radjstr not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
CoRoT-14,b,CoRoT-14 b,Transit,0,1,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,0.000000,,,0,79.600,0.800,-0.800,0,7.60000,0.60000,-0.60000,0,Mass,1.090,0.070,-0.070,0,7.30000,1.50000,-1.50000,0,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,110.00,-110.00,0,1826.96,166.60,-166.60,0,16.033,0.070,0,V (Johnson),15.812,,0,6035.00,100.00,-100.00,0,1.13,0.09,-0.09,0,1.21,0.08,-0.08,0,2014-05-14,CoRoT
CoRoT-16,b,CoRoT-16 b,Transit,0,1,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,85.010,0.940,-1.200,0,0.53500,0.08500,-0.08300,0,Mass,1.170,0.160,-0.140,0,0.44000,0.21000,-0.14000,0,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,90.00,-90.00,0,745.96,34.71,-34.71,0,15.630,,0,V (Johnson),15.651,,0,5650.00,100.00,-100.00,0,1.10,0.08,-0.08,0,1.19,0.14,-0.13,0,2014-05-14,CoRoT
CoRoT-17,b,CoRoT-17 b,Transit,0,1,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,0.000000,,,0,88.340,1.540,-1.540,0,2.43000,0.30000,-0.30000,0,Mass,1.020,0.070,-0.070,0,2.82000,0.38000,-0.38000,0,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,50.00,-50.00,0,1214.51,57.74,-57.74,0,15.460,,0,V (Johnson),15.437,,0,5740.00,80.00,-80.00,0,1.04,0.10,-0.10,0,1.59,0.07,-0.07,0,2014-05-14,CoRoT
CoRoT-18,b,CoRoT-18 b,Transit,0,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,0.080000,,,1,86.500,1.400,-0.900,0,3.47000,0.38000,-0.38000,0,Mass,1.310,0.180,-0.180,0,2.20000,0.80000,-0.80000,0,0,0,0,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,90.00,-90.00,0,780.87,27.57,-27.57,0,15.000,0.100,0,V (Johnson),14.801,,0,5440.00,100.00,-100.00,0,0.95,0.15,-0.15,0,1.00,0.13,-0.13,0,2014-05-14,CoRoT
CoRoT-19,b,CoRoT-19 b,Transit,0,1,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,0.047000,0.045000,-0.045000,0,88.000,0.700,-0.700,0,1.11000,0.06000,-0.06000,0,Mass,1.290,0.030,-0.030,0,0.71000,0.06000,-0.06000,0,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,160.00,-160.00,0,807.99,26.81,-26.81,0,14.007,,0,V (Johnson),13.783,,0,6090.00,70.00,-70.00,0,1.21,0.05,-0.05,0,1.65,0.04,-0.04,0,2014-05-14,CoRoT
CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,88.080,0.180,-0.160,0,3.47000,0.22000,-0.22000,0,Mass,1.466,0.042,-0.044,0,1.47000,0.08000,-0.07400,0,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,,,0,214.56,2.47,-2.47,0,12.570,,0,V (Johnson),12.249,,0,5625.00,120.00,-120.00,0,0.96,0.08,-0.08,0,0.91,0.03,-0.03,0,2014-05-14,CoRoT
CoRoT-21,b,CoRoT-21 b,Transit,0,1,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,0.000000,,,0,86.800,2.100,-2.100,0,2.26000,0.31000,-0.31000,0,Mass,1.300,0.140,-0.140,0,1.36000,0.48000,-0.48000,0,0,0,0,0,06h44m12.588s,101.052450,-00d17m56.868s,-0.299130,1398.83,286.45,-286.45,0,1398.83,286.45,-286.45,0,16.000,,0,V (Johnson),15.856,,0,6200.00,100.00,-100.00,0,1.29,0.09,-0.09,0,1.95,0.21,-0.21,0,2018-12-06,CoRoT
CoRoT-22,b,CoRoT-22 b,Transit,0,1,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,0.077000,0.300000,-0.042000,0,89.749,0.032,-0.900,0,0.03800,0.04400,-0.02800,0,Mass,0.435,0.015,-0.035,0,0.24900,1.00000,-0.09700,0,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,25.00,-42.00,0,638.47,11.31,-11.31,0,13.944,0.083,0,V (Johnson),13.730,,0,5939.00,54.00,-120.00,0,1.10,0.05,-0.05,0,1.14,0.04,-0.09,0,2014-08-21,CoRoT
CoRoT-23,b,CoRoT-23 b,Transit,0,1,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,0.160000,0.020000,-0.020000,0,85.700,2.600,-1.500,0,2.80000,0.30000,-0.30000,0,Mass,1.050,0.130,-0.130,0,3.00000,1.10000,-1.10000,0,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,50.00,-50.00,0,1092.40,45.90,-45.90,0,15.630,0.070,0,V (Johnson),15.068,,0,5900.00,100.00,-100.00,0,1.14,0.08,-0.08,0,1.61,0.18,-0.18,0,2014-05-14,CoRoT
CoRoT-24,b,CoRoT-24 b,Transit,0,2,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,0.000000,,,0,86.500,2.000,-2.000,0,0.01800,,,1,Mass,0.330,0.040,-0.040,0,0.90000,,,1,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,70.00,-70.00,0,601.22,16.02,-16.02,0,,,,,15.180,,0,4950.00,150.00,-150.00,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,2018-05-31,CoRoT
CoRoT-24,c,CoRoT-24 c,Transit,0,2,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,0.000000,,,0,89.000,1.000,-1.600,0,0.08800,0.03500,-0.03500,0,Mass,0.440,0.040,-0.040,0,1.30000,0.50000,-0.40000,0,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,70.00,-70.00,0,601.22,16.02,-16.02,0,,,,,15.180,,0,4950.00,150.00,-150.00,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,2014-06-11,CoRoT
CoRoT-25,b,CoRoT-25 b,Transit,0,1,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,0.000000,,,0,84.500,0.800,-0.300,0,0.27000,0.04000,-0.04000,0,Mass,1.080,0.300,-0.100,0,0.15000,0.15000,-0.06000,0,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,85.00,-25.00,0,1137.85,44.95,-44.95,0,,,,,14.711,,0,6040.00,90.00,-90.00,0,1.09,0.11,-0.05,0,1.19,0.14,-0.03,0,2014-05-14,CoRoT
CoRoT-26,b,CoRoT-26 b,Transit,0,1,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,0.000000,,,0,86.800,2.200,-1.000,0,0.52000,0.05000,-0.05000,0,Mass,1.260,0.130,-0.070,0,0.28000,0.09000,-0.07000,0,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,205.00,-110.00,0,,,,,,,,,15.468,,0,5590.00,100.00,-100.00,0,1.09,0.06,-0.06,0,1.79,0.18,-0.09,0,2014-05-14,CoRoT
CoRoT-27,b,CoRoT-27 b,Transit,0,1,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,0.065000,,,1,86.700,1.200,-0.870,0,10.39000,0.55000,-0.55000,0,Mass,1.007,0.044,-0.044,0,12.60000,1.92000,-1.67000,0,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,66.44,-66.44,0,1035.15,66.44,-66.44,0,15.540,,0,V (Johnson),15.390,,0,5900.00,120.00,-120.00,0,1.05,0.11,-0.11,0,1.08,0.18,-0.06,0,2014-05-14,CoRoT
CoRoT-28,b,CoRoT-28 b,Transit,0,1,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,0.047000,0.055000,-0.038000,0,88.100,0.800,-0.800,0,0.48400,0.08700,-0.08700,0,Mass,0.955,0.066,-0.066,0,0.69000,0.27000,-0.27000,0,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,560.00,70.00,-70.00,0,783.18,14.95,-14.95,0,,,,,13.412,,0,5150.00,100.00,-100.00,0,1.01,0.14,-0.14,0,1.78,0.11,-0.11,0,2015-04-16,CoRoT
CoRoT-29,b,CoRoT-29 b,Transit,0,1,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,0.082000,0.081000,-0.081000,0,87.300,2.700,-2.700,0,0.85000,0.20000,-0.20000,0,Mass,0.900,0.160,-0.160,0,1.45000,0.74000,-0.74000,0,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.00,50.00,-50.00,0,822.62,42.40,-42.40,0,,,,,15.239,,0,5260.00,100.00,-100.00,0,0.97,0.14,-0.14,0,0.90,0.12,-0.12,0,2015-04-16,CoRoT
CoRoT-3,b,CoRoT-3 b,Transit,0,1,4.25680000,0.00000500,-0.00000500,0,,,,,0.000000,,,0,85.900,0.800,-0.800,0,21.66000,1.00000,-1.00000,0,Mass,1.010,0.070,-0.070,0,26.40000,5.60000,-5.60000,0,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,680.00,160.00,-160.00,0,784.49,30.60,-30.60,0,13.292,0.020,0,V (Johnson),13.219,,0,6740.00,140.00,-140.00,0,1.37,0.09,-0.09,0,1.56,0.09,-0.09,0,2014-05-14,CoRoT
CoRoT-30,b,CoRoT-30 b,Transit,0,1,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,0.007000,0.031000,-0.031000,0,90.000,0.560,-0.560,0,2.90000,0.22000,-0.22000,0,Mass,1.009,0.076,-0.076,0,3.45000,0.65000,-0.65000,0,0,0,0,0,18h30m24.264s,277.601100,+06d50m09.424s,6.835951,960.00,68.00,-40.00,0,1061.07,48.66,-48.66,0,15.650,,0,V (Johnson),15.413,,0,5650.00,100.00,-100.00,0,0.98,0.03,-0.05,0,0.91,0.09,-0.03,0,2020-04-16,CoRoT
