# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  8 13:38:15 2020
#
# User preference: *
#
# CONSTRAINT:  where (st_teffstr not null
# CONSTRAINT:  and pl_massestr <= 120
# CONSTRAINT:  and pl_radestr not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0,7,12.35294000,0.00012000,-0.00012000,0,0.045100,0.001400,-0.001400,0,0.061000,,,1,89.710,0.025,-0.025,0,0.00422,0.00277,-0.00277,0,Mass,0.101,0.004,-0.004,0,5.20000,3.50000,-3.50000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,1.34000,0.88000,-0.88000,0,1.127,0.041,-0.041,0,Multiple Observatories
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0,7,2.42182330,0.00000170,-0.00000170,0,0.015210,0.000470,-0.000470,0,0.083000,,,1,89.670,0.170,-0.170,0,0.00434,0.00192,-0.00192,0,Mass,0.094,0.003,-0.003,0,6.45000,2.92000,-2.92000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,1.38000,0.61000,-0.61000,0,1.056,0.035,-0.035,0,La Silla Observatory
GJ 1132,b,GJ 1132 b,Transit,0,2,1.62893100,0.00002700,-0.00002700,0,0.015300,0.000500,-0.000500,0,0.220000,,,0,,,,0,0.00522,0.00072,-0.00072,0,Mass,0.101,0.005,-0.005,0,6.30000,1.30000,-1.30000,0,0,0,0,2,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,0.01,-0.01,0,12.62,0.01,-0.01,0,13.490,0.030,0,V (Johnson),12.138,,0,3270.00,140.00,-140.00,0,0.18,0.02,-0.02,0,0.21,0.01,-0.01,0,2020-06-04,1.66000,0.23000,-0.23000,0,1.130,0.056,-0.056,0,Cerro Tololo Inter-American Observatory
LHS 1140,c,LHS 1140 c,Transit,0,2,3.77793100,0.00000300,-0.00000300,0,0.026750,0.000700,-0.000700,0,0.310000,,,1,89.920,0.060,-0.090,0,0.00569,0.00123,-0.00123,0,Mass,0.114,0.002,-0.002,0,4.70000,1.10000,-1.10000,0,0,0,0,0,00h44m59.34s,11.247240,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.180,0.030,0,V (Johnson),12.671,,0,3216.00,39.00,-39.00,0,0.18,0.01,-0.01,0,0.21,0.00,0.00,0,2018-12-06,1.81000,0.39000,-0.39000,0,1.282,0.024,-0.024,0,Multiple Observatories
GJ 357,b,GJ 357 b,Transit,0,3,3.93072000,0.00008000,-0.00006000,0,0.035000,0.002000,-0.002000,0,,,,,89.120,0.370,-0.310,0,0.00579,0.00098,-0.00098,0,Mass,0.109,0.007,-0.007,0,5.60000,1.70000,-1.30000,0,0,0,0,0,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,0.01,-0.01,0,9.44,0.01,-0.01,0,10.920,0.030,0,V (Johnson),9.880,,0,3505.00,51.00,-51.00,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,2019-08-15,1.84000,0.31000,-0.31000,0,1.217,0.084,-0.083,0,Transiting Exoplanet Survey Satellite (TESS)
Kepler-11,b,Kepler-11 b,Transit,0,6,10.30390000,0.00060000,-0.00100000,0,0.091000,0.001000,-0.001000,0,0.045000,0.068000,-0.042000,0,89.640,0.360,-0.180,0,0.00600,0.00400,-0.00300,0,Mass,0.161,0.003,-0.004,0,1.72000,1.25000,-0.91000,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,658.59,6.57,-6.57,0,658.59,6.57,-6.57,0,14.200,,0,V (Johnson),13.706,,0,5663.00,55.00,-66.00,0,0.96,0.03,-0.03,0,1.06,0.02,-0.02,0,2014-05-14,1.90000,1.40000,-1.00000,0,1.800,0.030,-0.050,0,Kepler
Kepler-138,c,Kepler-138 c,Transit,0,3,13.78130000,0.00010000,-0.00010000,0,,,,,,,,,,,,,0.00620,0.00602,-0.00352,0,Mass,0.107,0.006,-0.006,0,6.20000,5.80000,-3.40000,0,1,1,0,2,19h21m31.57s,290.381547,+43d17m34.7s,43.292973,66.99,0.11,-0.11,0,66.99,0.11,-0.11,0,12.925,,0,Kepler-band,12.472,,0,3841.00,49.00,-49.00,0,0.52,0.06,-0.06,0,0.44,0.02,-0.02,0,2015-06-17,1.97000,1.91200,-1.12000,0,1.197,0.070,-0.070,0,Kepler
Kepler-11,f,Kepler-11 f,Transit,0,6,46.68880000,0.00270000,-0.00320000,0,0.250000,0.002000,-0.002000,0,0.013000,0.011000,-0.009000,0,89.470,0.040,-0.040,0,0.00600,0.00300,-0.00300,0,Mass,0.222,0.004,-0.006,0,0.69000,0.29000,-0.32000,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,658.59,6.57,-6.57,0,658.59,6.57,-6.57,0,14.200,,0,V (Johnson),13.706,,0,5663.00,55.00,-66.00,0,0.96,0.03,-0.03,0,1.06,0.02,-0.02,0,2014-05-14,2.00000,0.80000,-0.90000,0,2.490,0.040,-0.070,0,Kepler
GJ 1252,b,GJ 1252 b,Transit,0,1,0.51823490,0.00000630,-0.00000500,0,0.009160,0.000760,-0.000760,0,0.000000,,,0,85.000,2.100,-1.800,0,0.00658,0.00176,-0.00176,0,Mass,0.106,0.007,-0.007,0,,,,,0,0,0,0,20h27m42.06s,306.925235,-56d27m25.2s,-56.456990,20.38,0.02,-0.02,0,20.38,0.02,-0.02,0,12.193,0.056,0,V (Johnson),11.236,,0,3458.00,140.00,-133.00,0,0.38,0.02,-0.02,0,0.39,0.02,-0.02,0,2020-02-13,2.09000,0.56000,-0.56000,0,1.193,0.074,-0.074,0,Transiting Exoplanet Survey Satellite (TESS)
Kepler-51,b,Kepler-51 b,Transit,0,3,45.15400000,0.00020000,-0.00020000,0,0.251400,0.009700,-0.009700,0,0.040000,0.010000,-0.010000,0,,,,,0.00700,0.00500,-0.00300,0,Mass,0.633,0.027,-0.027,0,0.03000,0.02000,-0.01000,0,1,1,0,1,19h45m55.15s,296.479776,+49d56m15.7s,49.937683,801.76,13.96,-13.96,0,801.76,13.96,-13.96,0,14.669,,0,Kepler-band,14.678,,0,6018.00,107.00,-107.00,0,1.04,0.12,-0.12,0,0.94,0.50,-0.50,0,2014-05-14,2.10000,1.50000,-0.80000,0,7.100,0.300,-0.300,0,Kepler
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882000,0.00030000,-0.00031000,0,0.038070,0.000680,-0.000710,0,0.190000,0.350000,-0.140000,0,89.400,0.410,-0.460,0,0.00692,0.00535,-0.00661,0,Mass,0.123,0.012,-0.011,0,4.40000,4.00000,-4.20000,0,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,0.00,0.00,0,6.87,0.00,0.00,0,11.220,0.020,0,V (Johnson),10.047,,0,3337.00,150.00,-150.00,0,0.26,0.01,-0.01,0,0.28,0.02,-0.02,0,2019-08-15,2.20000,1.70000,-2.10000,0,1.380,0.130,-0.120,0,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,d,L 98-59 d,Transit,0,3,7.45120000,0.00070000,-0.00070000,0,0.050600,0.000200,-0.000200,0,0.090000,,,1,,,,,0.00727,0.00145,-0.00142,0,Mass,0.140,0.012,-0.012,0,3.30000,1.30000,-0.90000,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,2.31000,0.46000,-0.45000,0,1.570,0.140,-0.140,0,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,c,L 98-59 c,Transit,0,3,3.69040000,0.00030000,-0.00030000,0,0.031700,0.000100,-0.000100,0,0.070000,,,1,,,,,0.00761,0.00110,-0.00107,0,Mass,0.120,0.006,-0.006,0,5.40000,1.30000,-1.00000,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,2.42000,0.35000,-0.34000,0,1.350,0.070,-0.070,0,Transiting Exoplanet Survey Satellite (TESS)
