# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 22 17:27:19 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_facility like '%kepler%')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility
KOI-1599,c,KOI-1599.01,Transit,0,2,20.44150000,0.00130000,-0.00130000,0,0.147280,,,0,0.014000,,,0,89.780,0.160,-0.160,0,0.01447,0.00094,-0.00094,0,Mass,0.170,0.027,-0.027,0,,,,,1,1,0,0,19h53m29.72s,298.373847,+40d37m06.3s,40.618421,1168.99,29.11,-29.11,0,1168.99,29.11,-29.11,0,14.802,,0,Kepler-band,14.854,,0,,,,,1.02,,,0,0.97,,,0,2019-05-23,4.60000,0.30000,-0.30000,0,1.900,0.300,-0.300,0,Kepler
KOI-1599,b,KOI-1599.02,Transit,0,2,13.60880000,0.00060000,-0.00060000,0,0.112293,,,0,0.011400,,,0,88.600,0.060,-0.060,0,0.02832,0.00094,-0.00094,0,Mass,0.170,0.018,-0.018,0,,,,,1,1,0,0,19h53m29.72s,298.373847,+40d37m06.3s,40.618421,1168.99,29.11,-29.11,0,1168.99,29.11,-29.11,0,14.802,,0,Kepler-band,14.854,,0,,,,,1.02,,,0,0.97,,,0,2019-05-23,9.00000,0.30000,-0.30000,0,1.900,0.200,-0.200,0,Kepler
KOI-1783,b,KOI-1783.01,Transit,0,2,134.46280000,0.00330000,-0.00350000,0,,,,,0.000000,,,0,89.441,0.008,-0.008,0,0.22339,0.03524,-0.02895,0,Mass,0.790,0.022,-0.021,0,0.56000,0.10100,-0.08500,0,1,1,0,0,19h17m21.94s,289.341414,+46d59m17.7s,46.988243,887.81,14.12,-14.12,0,887.81,14.12,-14.12,0,13.929,,0,Kepler-band,13.906,,0,5922.00,60.00,-60.00,0,1.08,0.04,-0.03,0,1.14,0.03,-0.03,0,2020-05-07,71.00000,11.20000,-9.20000,0,8.860,0.250,-0.240,0,Kepler
KOI-1783,c,KOI-1783.02,Transit,0,2,284.21500000,0.02600000,-0.02100000,0,,,,,0.000000,,,0,,,,,0.04720,0.01353,-0.01133,0,Mass,0.485,0.046,-0.027,0,0.51000,0.21000,-0.15000,0,1,1,0,0,19h17m21.94s,289.341414,+46d59m17.7s,46.988243,887.81,14.12,-14.12,0,887.81,14.12,-14.12,0,13.929,,0,Kepler-band,13.906,,0,5922.00,60.00,-60.00,0,1.08,0.04,-0.03,0,1.14,0.03,-0.03,0,2020-05-07,15.00000,4.30000,-3.60000,0,5.440,0.520,-0.300,0,Kepler
KOI-217,b,KOI-217 b,Transit,0,1,3.90512000,0.00005000,-0.00005000,0,0.047700,0.000700,-0.000700,0,0.000000,,,0,89.800,0.200,-0.400,0,,,,,,1.110,0.020,-0.020,0,,,,,1,1,0,1,19h39m27.72s,294.865505,+46d17m09.1s,46.285854,800.00,,,0,939.21,17.96,-17.96,0,15.127,,0,Kepler-band,15.101,,0,5545.00,,,0,0.95,0.05,,0,0.86,0.02,,0,2014-05-14,,,,,12.442,0.224,-0.224,0,Kepler
KOI-351,b,KOI-351 b,Transit,0,8,7.00815100,0.00001900,-0.00001900,0,0.074000,0.016000,-0.016000,0,,,,,89.400,1.500,-1.500,0,,,,,,0.117,0.015,-0.015,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,1.310,0.170,-0.170,0,Kepler
KOI-351,c,KOI-351 c,Transit,0,8,8.71937500,0.00002700,-0.00002700,0,0.089000,0.012000,-0.012000,0,,,,,89.680,0.740,-0.740,0,,,,,,0.106,0.012,-0.012,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,1.190,0.140,-0.140,0,Kepler
KOI-351,d,KOI-351 d,Transit,0,8,59.73667000,0.00038000,-0.00038000,0,0.320000,0.050000,-0.050000,0,,,,,89.710,0.290,-0.290,0,,,,,,0.256,0.027,-0.027,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,2.870,0.300,-0.300,0,Kepler
KOI-351,e,KOI-351 e,Transit,0,8,91.93913000,0.00073000,-0.00073000,0,0.420000,0.060000,-0.060000,0,,,,,89.790,0.190,-0.190,0,,,,,,0.237,0.026,-0.026,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,2.660,0.290,-0.290,0,Kepler
KOI-351,f,KOI-351 f,Transit,0,8,124.91440000,0.00190000,-0.00190000,0,0.480000,0.090000,-0.090000,0,,,,,89.770,0.310,-0.310,0,,,,,,0.257,0.046,-0.046,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,2.880,0.520,-0.520,0,Kepler
KOI-351,g,KOI-351 g,Transit,0,8,210.60697000,0.00043000,-0.00043000,,0.710000,0.080000,-0.080000,0,,,,,89.800,0.060,-0.060,0,,,,,,0.723,0.071,-0.071,0,,,,,0,1,0,0,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,8.100,0.800,-0.800,0,Kepler
KOI-351,h,KOI-351 h,Transit,0,8,331.60059000,0.00037000,-0.00037000,0,1.010000,0.110000,-0.110000,0,,,,,89.600,1.300,-1.300,0,,,,,,1.008,0.089,-0.089,0,,,,,0,1,0,1,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,869.51,11.28,-11.28,0,13.804,,0,Kepler-band,13.740,,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,2014-05-14,,,,,11.300,1.000,-1.000,0,Kepler
KOI-3680,b,KOI-3680 b,Transit,0,1,141.24167100,0.00008600,-0.00008600,0,0.534000,0.012000,-0.030000,0,0.496000,0.031000,-0.031000,0,89.892,0.069,-0.086,0,1.93000,0.19000,-0.21000,0,Mass,0.990,0.060,-0.070,0,2.46000,0.42000,-0.36000,0,0,1,0,0,19h33m07.58s,293.281566,+45d18m34.8s,45.309677,946.59,24.45,-24.45,0,946.59,24.45,-24.45,0,14.770,,0,V (Johnson),14.503,,0,5830.00,100.00,-100.00,0,1.01,0.07,-0.16,0,0.96,0.05,-0.06,0,2018-12-06,613.41190,60.38770,-66.74430,0,11.097,0.673,-0.785,0,Kepler
KOI-94,b,KOI-94 b,Transit,0,4,3.74320800,0.00001500,-0.00001500,0,0.051190,0.000670,-0.000670,0,0.250000,0.170000,-0.170000,0,89.300,0.570,-0.570,0,0.03300,0.01400,-0.01400,0,Mass,0.153,0.014,-0.014,0,10.10000,5.50000,-5.50000,0,0,1,0,1,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,483.65,5.05,-5.05,0,483.65,5.05,-5.05,0,12.205,,0,Kepler-band,12.188,,0,6182.00,58.00,-58.00,0,1.28,0.05,-0.05,0,1.52,0.14,-0.14,0,2014-05-14,10.50000,4.60000,-4.60000,0,1.710,0.160,-0.160,0,Kepler
KOI-94,c,KOI-94 c,Transit,0,4,10.42364800,0.00001600,-0.00001600,0,0.101300,0.001300,-0.001300,0,0.430000,0.230000,-0.230000,0,88.360,0.750,-0.750,0,0.04900,0.01800,-0.04900,0,Mass,0.385,0.037,-0.037,0,0.91000,0.36000,-0.91000,0,1,1,0,2,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,483.65,5.05,-5.05,0,483.65,5.05,-5.05,0,12.205,,0,Kepler-band,12.188,,0,6182.00,58.00,-58.00,0,1.28,0.05,-0.05,0,1.52,0.14,-0.14,0,2014-05-14,15.60000,5.70000,-15.60000,0,4.320,0.410,-0.410,0,Kepler
